acsf_model(name='t6',
           num_molecules=100000,
           acsf_Gs=acsf_Gs(G2_params=[(0.4, 0.2), (0.6, 0.2)],
                           G4_params=[(0.4, 2, 1), (0.6, 2, 1), (0.6, 2, -1)],
                           Rc=5.0),
           paths=paths(data_path='data/t3.pkl',
                       model_path='results/t6',
                       plot_path='plots/t6',
                       linear_model='results/t6_linear'),
           results=results(avg_dif=0, mae=0, max_d=0),
           nn_props=nn_props(nodes=[64, 64, 32, 1],
                             batch_size=32,
                             epochs=400,
                             learning_rate=0.001))
found data at data/t3.pkl
Number of Molecules: 100000
RMSE of least squares fitting: 11.223900352298045
MAE of least squares fitting : 8.306690234500989
starting training...
Epoch,	Training E,	 Validation E	 Estimated Time Left
133,	 2.759736e+01,	 3.069334e+01	 20.15 Hours
134,	 2.750449e+01,	 3.010807e+01	 20.07 Hours
135,	 2.742197e+01,	 3.037490e+01	 20.00 Hours
136,	 2.739092e+01,	 3.058310e+01	 19.93 Hours
137,	 2.734529e+01,	 2.982318e+01	 19.86 Hours
138,	 2.722530e+01,	 2.905378e+01	 19.79 Hours
139,	 2.711591e+01,	 2.968324e+01	 19.72 Hours
140,	 2.703369e+01,	 3.002958e+01	 19.65 Hours
141,	 2.694420e+01,	 2.943889e+01	 19.58 Hours
142,	 2.691062e+01,	 2.888001e+01	 19.52 Hours
143,	 2.685186e+01,	 2.967908e+01	 19.45 Hours
144,	 2.680550e+01,	 2.953510e+01	 19.37 Hours
145,	 2.676468e+01,	 2.962099e+01	 19.30 Hours
146,	 2.664090e+01,	 3.006557e+01	 19.23 Hours
147,	 2.661539e+01,	 2.938714e+01	 19.15 Hours
148,	 2.651107e+01,	 2.924403e+01	 19.08 Hours
149,	 2.653514e+01,	 2.891374e+01	 19.01 Hours
150,	 2.641654e+01,	 2.897424e+01	 18.94 Hours
151,	 2.636807e+01,	 3.120868e+01	 18.87 Hours
152,	 2.634583e+01,	 2.883618e+01	 18.81 Hours
153,	 2.627921e+01,	 2.873511e+01	 18.74 Hours
154,	 2.617489e+01,	 2.852088e+01	 18.67 Hours
155,	 2.625574e+01,	 2.800829e+01	 18.60 Hours
156,	 2.624803e+01,	 2.895660e+01	 18.53 Hours
157,	 2.610054e+01,	 2.903701e+01	 18.46 Hours
158,	 2.610874e+01,	 2.793866e+01	 18.38 Hours
159,	 2.610155e+01,	 2.927414e+01	 18.31 Hours
160,	 2.596248e+01,	 2.926736e+01	 18.23 Hours
161,	 2.584377e+01,	 2.813921e+01	 18.15 Hours
